,Age,workclass,A,education,education-num,marital status,occupation,relation,race,sex,captial-gain,captial-loss,hours-per-week,native-country,class
0,39,6,77516,8,13,2,3,1,3,1,2174,0,40,15,0
1,50,5,83311,8,13,0,9,2,3,1,0,0,13,15,0
2,38,1,215646,10,9,3,13,1,3,1,0,0,40,15,0
3,53,1,234721,13,7,0,13,2,0,1,0,0,40,15,0
4,28,1,338409,8,13,0,11,4,0,0,0,0,40,38,0
5,37,1,284582,1,14,0,9,4,3,0,0,0,40,15,0
6,49,1,160187,2,5,6,2,1,0,0,0,0,16,4,0
7,52,5,209642,10,9,0,9,2,3,1,0,0,45,15,1
8,31,1,45781,1,14,2,11,1,3,0,14084,0,50,15,1
9,42,1,159449,8,13,0,9,2,3,1,5178,0,40,15,1
10,37,1,280464,3,10,0,9,2,0,1,0,0,80,15,1
11,30,6,141297,8,13,0,11,2,4,1,0,0,40,28,1
12,23,1,122272,8,13,2,3,5,3,0,0,0,30,15,0
13,32,1,205019,4,12,2,10,1,0,1,0,0,50,15,0
14,40,1,121772,5,11,0,5,2,4,1,0,0,40,25,1
15,34,1,245487,15,4,0,1,2,2,1,0,0,45,41,0
16,25,5,176756,10,9,2,7,5,3,1,0,0,35,15,0
17,32,1,186824,10,9,2,12,3,3,1,0,0,40,15,0
18,38,1,28887,13,7,0,10,2,3,1,0,0,50,15,0
19,43,5,292175,1,14,3,9,3,3,0,0,0,45,15,1
20,40,1,193524,6,16,0,11,2,3,1,0,0,60,15,1
21,54,1,302146,10,9,4,2,3,0,0,0,0,20,15,0
22,35,2,76845,2,5,0,7,2,0,1,0,0,40,15,0
23,43,1,117037,13,7,0,1,2,3,1,0,2042,40,15,0
24,59,1,109015,10,9,3,0,3,3,0,0,0,40,15,0
25,56,0,216851,8,13,0,0,2,3,1,0,0,40,15,1
26,19,1,168294,10,9,2,5,5,3,1,0,0,40,15,0
27,54,8,180211,3,10,0,14,2,4,1,0,0,60,35,1
28,39,1,367260,10,9,3,9,1,3,1,0,0,80,15,0
29,49,1,193366,10,9,0,5,2,3,1,0,0,40,15,0
30,23,0,190709,4,12,2,6,1,3,1,0,0,52,15,0
31,20,1,266015,3,10,2,10,5,0,1,0,0,44,15,0
32,45,1,386940,8,13,3,9,5,3,1,0,1408,40,15,0
33,30,2,59951,3,10,0,3,5,3,1,0,0,40,15,0
34,22,6,311512,3,10,0,2,2,0,1,0,0,15,15,0
35,48,1,242406,13,7,2,12,3,3,1,0,0,40,0,0
36,21,1,197200,3,10,2,12,5,3,1,0,0,40,15,0
37,19,1,544091,10,9,1,3,4,3,0,0,0,25,15,0
38,31,1,84154,3,10,0,10,2,3,1,0,0,38,25,1
39,48,5,265477,4,12,0,11,2,3,1,0,0,40,15,0
40,31,1,507875,2,5,0,12,2,3,1,0,0,43,15,0
41,53,5,88506,8,13,0,11,2,3,1,0,0,40,15,0
42,24,1,172987,8,13,0,0,2,3,1,0,0,50,15,0
43,49,1,94638,10,9,4,3,3,3,0,0,0,40,15,0
44,25,1,289980,10,9,2,13,1,3,1,0,0,35,15,0
45,57,2,337895,8,13,0,11,2,0,1,0,0,40,15,1
46,53,1,144361,10,9,0,12,2,3,1,0,0,38,15,0
47,44,1,128354,1,14,3,9,3,3,0,0,0,40,15,0
48,41,6,101603,5,11,0,5,2,3,1,0,0,40,15,0
49,29,1,271466,5,11,2,11,1,3,1,0,0,43,15,0
50,25,1,32275,3,10,0,9,4,1,0,0,0,40,15,0
51,18,1,226956,10,9,2,2,5,3,0,0,0,30,25,0
52,47,1,51835,11,15,0,11,4,3,0,0,1902,60,29,1
53,50,2,251585,8,13,3,9,1,3,1,0,0,55,15,1
54,47,3,109832,10,9,3,9,1,3,1,0,0,60,15,0
55,43,1,237993,3,10,0,0,2,3,1,0,0,40,15,1
56,46,1,216666,9,3,0,12,2,3,1,0,0,40,41,0
57,35,1,56352,5,11,0,2,2,3,1,0,0,40,0,0
58,41,1,147372,10,9,0,3,2,3,1,0,0,48,15,0
59,30,1,188146,10,9,0,12,2,3,1,5013,0,40,15,0
60,30,1,59496,8,13,0,10,2,3,1,2407,0,40,15,0
61,32,8,293936,15,4,6,14,1,3,1,0,0,40,25,0
62,48,1,149640,10,9,0,1,2,3,1,0,0,40,15,0
63,42,1,116632,6,16,0,11,2,3,1,0,0,45,15,1
64,29,1,105598,3,10,3,0,1,3,1,0,0,58,15,0
65,36,1,155537,10,9,0,5,2,3,1,0,0,40,15,0
66,28,1,183175,3,10,3,3,1,3,0,0,0,40,15,0
67,53,1,169846,10,9,0,3,4,3,0,0,0,40,15,1
68,49,3,191681,3,10,0,9,2,3,1,0,0,50,15,1
69,25,8,200681,3,10,2,14,5,3,1,0,0,40,15,0
70,19,1,101509,3,10,2,11,5,3,1,0,0,32,15,0
71,31,1,309974,8,13,4,10,5,0,0,0,0,40,15,0
72,29,5,162298,8,13,0,10,2,3,1,0,0,70,15,1
73,23,1,211678,3,10,2,12,1,3,1,0,0,40,15,0
74,79,1,124744,3,10,0,11,0,3,1,0,0,20,15,0
75,27,1,213921,10,9,2,2,5,3,1,0,0,40,41,0
76,40,1,32214,4,12,0,3,2,3,1,0,0,40,15,0
77,67,8,212759,14,6,0,14,2,3,1,0,0,2,15,0
78,18,1,309634,13,7,2,2,5,3,0,0,0,22,15,0
79,31,0,125927,15,4,0,7,2,3,1,0,0,40,15,0
80,18,1,446839,10,9,2,10,1,3,1,0,0,30,15,0
81,52,1,276515,8,13,0,2,2,3,1,0,0,40,38,0
82,46,1,51618,10,9,0,2,4,3,0,0,0,40,15,0
83,59,1,159937,10,9,0,10,2,3,1,0,0,48,15,0
84,44,1,343591,10,9,3,5,1,3,0,14344,0,40,15,1
85,53,1,346253,10,9,3,10,5,3,0,0,0,35,15,0
86,49,0,268234,10,9,0,6,2,3,1,0,0,40,15,1
87,33,1,202051,1,14,0,11,2,3,1,0,0,50,15,0
88,30,1,54334,2,5,2,10,1,3,1,0,0,40,15,0
89,43,2,410867,6,16,2,11,1,3,0,0,0,50,15,1
90,57,1,249977,5,11,0,11,2,3,1,0,0,40,15,0
91,37,1,286730,3,10,3,5,3,3,0,0,0,40,15,0
92,28,1,212563,3,10,3,12,3,0,0,0,0,25,15,0
93,30,1,117747,10,9,0,10,4,4,0,0,1573,35,25,0
94,34,0,226296,8,13,0,6,2,3,1,0,0,40,15,1
95,29,0,115585,3,10,2,13,1,3,1,0,0,50,15,0
96,48,5,191277,6,16,0,11,2,3,1,0,1902,60,15,1
97,37,1,202683,3,10,0,10,2,3,1,0,0,48,15,1
98,48,1,171095,4,12,3,9,3,3,0,0,0,40,16,0
99,32,2,249409,10,9,2,2,5,0,1,0,0,40,15,0
100,76,1,124191,1,14,0,9,2,3,1,0,0,40,15,1
101,44,1,198282,8,13,0,9,2,3,1,15024,0,60,15,1
102,47,5,149116,1,14,2,11,1,3,0,0,0,50,15,0
103,20,1,188300,3,10,2,0,5,3,0,0,0,40,15,0
104,29,1,103432,10,9,2,5,1,3,1,0,0,40,15,0
105,32,3,317660,10,9,0,5,2,3,1,7688,0,40,15,1
106,17,8,304873,14,6,2,14,5,3,0,34095,0,32,15,0
